,rank,name,mcap,mcap_raw,inflow,outflow,netflow,inflow_raw,outflow_raw,netflow_raw
0,1,BTC,$518.9B,518851160825.199000000,$312.1M,$305.6M,$6.6M,312142291.39881057,305584242.68395394,6558048.714856614
1,2,ETH,$196.5B,196501039539.963800000,$141.3M,$171.7M,$-30.4M,141291502.97220677,171734370.95665348,-30442867.984446697
2,3,HIFI,$105.4M,105430026.449603740,$105.6M,$116.4M,$-10.8M,105566075.86258104,116351455.06224635,-10785379.199665297
3,4,XRP,$26.6B,26566860587.249360000,$57.5M,$61.8M,$-4.2M,57522715.70573871,61769089.16196695,-4246373.456228236
4,5,WLD,$173.5M,173514339.991507980,$50.3M,$56.4M,$-6.1M,50283105.178244755,56408249.16265426,-6125143.9844095
5,6,USDC,$26.2B,26244681110.126995000,$26.2M,$55.6M,$-29.5M,26153116.84984105,55604717.919126436,-29451601.06928539
6,7,USDT,$83.4B,83364684070.584490000,$37.9M,$37.9M,$-22.1K,37885053.92473306,37907191.16516609,-22137.240433043524
7,8,BNB,$33.4B,33370263004.755657000,$37.7M,$30M,$7.7M,37685394.050134465,30000024.13040961,7685369.919724858
8,9,FRONT,$23.2M,23212193.165999997,$34.1M,$33M,$1.2M,34137601.56608835,32954563.8165823,1183037.749506052
9,10,TRB,$66.9M,66858965.567152230,$24M,$25.1M,$-1M,24045127.48079747,25051946.226450723,-1006818.7456532528
10,11,LTC,$4.7B,4736655484.325163000,$25.6M,$23.4M,$2.2M,25574343.077005535,23362728.181783855,2211614.895221678
12,13,BUSD,$2.6B,2605073736.321798300,$17.5M,$20.8M,$-3.3M,17517710.88163599,20825372.209075656,-3307661.32743967
13,14,SOL,$7.8B,7835997097.424616000,$18M,$17.9M,$123.4K,18031208.013508968,17907831.25215336,123376.76135560859
14,15,BCH,$4.2B,4166725110.368212700,$17.2M,$17.4M,$-194K,17238849.572231103,17432874.052151687,-194024.47992058512
15,16,DOGE,$8.8B,8763482965.750174000,$13.3M,$17M,$-3.7M,13293266.473510472,17042001.219336327,-3748734.745825857
16,17,STORJ,$148.7M,148708307.636733650,$14.5M,$13.3M,$1.2M,14506939.6901894,13340620.50204024,1166319.1881491581
17,18,RUNE,$638.3M,638301595.624221300,$13.1M,$11.5M,$1.6M,13109051.398858028,11470237.362575913,1638814.0362821142
18,19,TUSD,$3.2B,3191093386.747699000,$9.7M,$13.9M,$-4.2M,9739248.025191162,13899939.17267358,-4160691.1474824185
19,20,MTL,$82.3M,82349726.866710040,$11.6M,$11.7M,$-131.3K,11574173.803236429,11705444.989926394,-131271.18668996566
20,21,TON,$8.1B,8099296511.242637000,$11.2M,$12.1M,$-916.6K,11177949.909925662,12094511.547966925,-916561.6380412632
21,22,TRX,$7.5B,7451446148.386935000,$10.8M,$12.1M,$-1.3M,10835272.649429247,12098688.584513173,-1263415.9350839246
22,23,APE,$414.1M,414094863.903145800,$11M,$11.4M,$-432.3K,10984621.046411276,11416956.451296503,-432335.4048852277
23,24,FIDA,$7M,6998580.854230285,$11M,$11.4M,$-406.4K,10985155.967399409,11391593.451521266,-406437.4841218581
25,26,STPT,$103.3M,103311915.825358520,$11.3M,$10M,$1.3M,11328648.822965682,9986149.5719967,1342499.2509689804
26,27,BLZ,$62M,62029740.690903140,$9.9M,$8.8M,$1.1M,9854984.044217603,8765879.154355789,1089104.8898618133
27,28,AUCTION,$31.5M,31493748.508543400,$8.8M,$9.8M,$-961.6K,8799709.362659195,9761273.871474499,-961564.508815304
28,29,ARB,$1B,1035320592.684375000,$8.3M,$9.9M,$-1.6M,8277644.649728325,9916083.040457211,-1638438.3907288855
29,30,BAKE,$32.7M,32723269.545520566,$8.5M,$9M,$-510.5K,8526812.6254087,9037325.56113146,-510512.93572276004
30,31,MATIC,$4.9B,4886068507.821343000,$8.5M,$8.8M,$-294.9K,8462534.62699094,8757406.880059492,-294872.2530685507
31,32,PERP,$41.1M,41078768.517517395,$8.4M,$8.2M,$230.6K,8380649.142917568,8150066.642830393,230582.50008717488
32,33,OP,$1.1B,1104745614.983955900,$7.4M,$9.1M,$-1.7M,7378202.855666022,9112318.695493078,-1734115.839827056
33,34,LINK,$3.3B,3332545081.633377000,$8M,$8.2M,$-259.8K,7959025.1167440675,8218804.884517755,-259779.76777368845
34,35,SHIB,$4.3B,4327846409.377362000,$7.9M,$8M,$-123.3K,7901152.599089313,8024492.475957725,-123339.87686841207
35,36,CFX,$398.8M,398803218.388212260,$7.4M,$8.3M,$-872.4K,7449635.6037487015,8322043.707015739,-872408.1032670368
36,37,SUI,$352.1M,352118505.605881800,$7.3M,$8.3M,$-1M,7267496.986879864,8280541.833114456,-1013044.846234592
37,38,ALCX,$24.6M,24573527.849085920,$7.4M,$8.1M,$-736.7K,7357449.3776395405,8094141.513881364,-736692.1362418237
38,39,STMX,$57.9M,57940000.000000010,$7.1M,$7.8M,$-746.4K,7057821.240862679,7804231.616826857,-746410.3759641788
39,40,FDUSD,$393.8M,393805543.292205600,$7.5M,$7.2M,$337.4K,7529596.54726877,7192166.34552959,337430.20173917967
40,41,FIL,$1.5B,1505223606.836924300,$7M,$7.5M,$-510.1K,6973303.515020885,7483388.406543149,-510084.8915222645
41,42,AAVE,$884.9M,884923511.401817100,$7M,$7.5M,$-457K,6994609.502986284,7451591.641370324,-456982.1383840401
42,43,XMR,$2.6B,2649406555.856334000,$6.9M,$7.5M,$-602.2K,6857841.058725913,7460090.130824873,-602249.0720989595
43,44,ADA,$8.8B,8812496617.235443000,$6.9M,$7M,$-63.5K,6894386.804127135,6957926.533099193,-63539.72897205787
44,45,SXP,$162.9M,162862008.137320500,$6.4M,$7.3M,$-857.1K,6433291.346346036,7290366.93330954,-857075.5869635046
45,46,AVAX,$3.3B,3259482349.735632400,$6.2M,$6.8M,$-645.5K,6196739.239461308,6842237.486850943,-645498.2473896346
46,47,XLM,$3.2B,3236893101.995291700,$6.2M,$6.7M,$-424.2K,6247490.430660207,6671651.728133514,-424161.2974733059
47,48,FORTH,$44.7M,44722083.282635780,$6.3M,$6.4M,$-186.6K,6258951.7906760955,6445596.826005736,-186645.0353296409
48,49,ARK,$91.5M,91484663.475894540,$5.5M,$6.9M,$-1.4M,5530264.08465883,6929583.3265987,-1399319.2419398697
49,50,ATOM,$2.6B,2589453793.560445300,$6.4M,$6M,$403.7K,6428611.789737595,6024933.937107936,403677.85262965877
50,51,MULTI,$33.6M,33622488.656388514,$5.4M,$6.4M,$-997.4K,5426834.982441457,6424239.728044737,-997404.74560328
51,52,PEPE,$261M,260952890.765560000,$5.1M,$6.1M,$-972.6K,5104811.737393389,6077371.716981582,-972559.9795881923
52,53,EGLD,$671.6M,671619818.107397000,$5.8M,$5.3M,$451.6K,5765392.067385688,5313837.3246641215,451554.7427215677
53,54,MKR,$1.3B,1250098294.199646700,$5.5M,$5.5M,$-50.6K,5480875.645763947,5531491.753819797,-50616.10805585061
54,55,UNFI,$44.8M,44787495.773460284,$5.1M,$5.7M,$-560.5K,5093517.762626907,5654020.617781308,-560502.8551544014
55,56,GALA,$343.4M,343403222.196074400,$5M,$5.7M,$-739.6K,4950696.746615554,5690296.228879063,-739599.4822635093
56,57,FLOW,$464.8M,464769458.359800000,$4.9M,$5.4M,$-552.8K,4896613.682689264,5449457.2928563,-552843.6101670364
57,58,DOT,$5.1B,5055549579.156546000,$4.9M,$5.5M,$-596.6K,4861562.865020514,5458178.18036432,-596615.3153438075
58,59,ELF,$241.6M,241630118.287983830,$5.8M,$4.5M,$1.3M,5809894.053314997,4507479.849447446,1302414.2038675514
59,60,XVS,$70M,69997031.028097690,$5M,$5.1M,$-40K,5014941.425068319,5054929.501522219,-39988.07645389982
60,61,BURGER,$14.9M,14856089.495337237,$5M,$4.8M,$224.9K,5023265.247243419,4798318.482880039,224946.7643633808
61,62,OXT,$62.6M,62646720.741376010,$4.7M,$5.1M,$-352.3K,4718651.058609085,5070943.898769173,-352292.8401600872
62,63,CVP,$9.7M,9693093.224787370,$4.8M,$4.5M,$315.4K,4831057.062812517,4515622.031084432,315435.0317280849
63,64,AUDIO,$171.3M,171345010.955154060,$4.4M,$4.5M,$-141.9K,4386834.263637206,4528694.424735291,-141860.1610980843
64,65,VIDT,$13.9M,13941436.752807695,$4.2M,$4.2M,$-29.8K,4218461.103129368,4248234.526954635,-29773.423825266713
65,66,ENTC,$0,0.000000000,$3.7M,$4.1M,$-365.2K,3722341.667523391,4087542.864201466,-365201.196678075
66,67,APT,$1.2B,1217024192.878137400,$3.9M,$3.8M,$125.9K,3945079.7549204994,3819140.9723111754,125938.78260932401
67,68,RAD,$70.8M,70848840.970374500,$3.7M,$3.9M,$-240.1K,3690021.824119851,3930120.482489937,-240098.65837008553
68,69,KAVA,$485.3M,485308861.923968400,$3.6M,$4M,$-366.7K,3617773.6132437503,3984444.608274177,-366670.9950304272
69,70,PROS,$7.6M,7550252.519644118,$3.7M,$3.8M,$-139.3K,3710340.39383484,3849641.93158333,-139301.53774848997
70,71,HBAR,$1.7B,1673539409.627496500,$3.4M,$3.7M,$-247K,3422462.9143584426,3669475.4188019,-247012.50444345735
71,72,FET,$190.2M,190186879.775081870,$3.3M,$3.8M,$-525.9K,3273739.511250051,3799636.5889333123,-525897.0776832609
72,73,CRV,$381.3M,381305628.910828650,$3.4M,$3.5M,$-98.3K,3429742.655196709,3528038.1122446726,-98295.45704796349
73,74,HOOK,$41.5M,41531053.668750000,$3.4M,$3.5M,$-75.9K,3412354.270740784,3488232.121586926,-75877.8508461419
74,75,ID,$77.7M,77702767.403434040,$2.2M,$4.3M,$-2.1M,2234474.473996545,4288273.325416336,-2053798.851419791
75,76,AGLD,$37.9M,37949976.602010320,$3.5M,$2.9M,$574.8K,3486718.132791695,2911891.6261867606,574826.5066049345
76,77,EOS,$626.2M,626223620.583449000,$2.9M,$3.4M,$-443.7K,2941189.161567678,3384919.494286283,-443730.3327186044
77,78,VET,$1.3B,1283942194.988542000,$3.1M,$3.2M,$-107.3K,3076397.418349966,3183702.2713726363,-107304.85302267055
78,79,ETC,$2.2B,2216046385.573653000,$2.6M,$3.4M,$-793.3K,2640491.1274086935,3433759.2211202905,-793268.0937115969
79,80,INJ,$599.8M,599813502.112770100,$3.1M,$2.9M,$157.3K,3088366.721691955,2931064.612141345,157302.10955060975
80,81,RNDR,$591.4M,591441343.516151400,$2.9M,$2.8M,$43.3K,2885855.4989612726,2842533.5211743787,43321.977786894044
81,82,CORE,$60.8M,60826204.763564910,$2.7M,$3M,$-382.3K,2657342.607727017,3039594.2611008035,-382251.6533737866
82,83,WING,$19.2M,19168940.953541320,$2.7M,$2.8M,$-127.2K,2717451.572699942,2844606.3477847874,-127154.77508484552
83,84,AXS,$645.2M,645191260.161416400,$2.4M,$3.1M,$-710.4K,2400274.7958125114,3110631.0867274036,-710356.2909148922
84,85,ACH,$102.3M,102335600.399258750,$2.4M,$3M,$-582.9K,2396521.6586316912,2979429.479628436,-582907.8209967447
85,86,FTM,$538M,538015138.150650700,$2.3M,$3.1M,$-800.1K,2269613.497236676,3069719.090122446,-800105.59288577
86,87,COMP,$305.7M,305678579.987267900,$2.3M,$3M,$-651.6K,2316985.5703088585,2968635.445677245,-651649.875368386
87,88,FLM,$45M,44951613.862706200,$2.6M,$2.5M,$83.7K,2613812.3383106976,2530085.966280718,83726.3720299797
88,89,LEVER,$33M,32954792.045810020,$2.6M,$2.5M,$88.2K,2600407.5065388596,2512219.922841005,88187.58369785442
89,90,PSG,$14.7M,14730946.551042560,$2.4M,$2.6M,$-167.3K,2437091.300928254,2604343.901104143,-167252.60017588869
90,91,YGG,$55.5M,55457247.434700005,$2.2M,$2.8M,$-562.4K,2228907.701587279,2791351.721201351,-562444.0196140717
91,92,SAND,$625M,624964768.470531300,$2.4M,$2.5M,$-119.3K,2353090.3434190266,2472351.083080288,-119260.7396612618
92,93,MAV,$58.2M,58200168.075000000,$2.2M,$2.5M,$-327.2K,2216778.666115501,2543936.5510116993,-327157.8848961982
93,94,OG,$18.2M,18243401.833019460,$2.1M,$2.6M,$-485.6K,2132033.763868562,2617669.5145452926,-485635.75067673053
94,95,ZBC,$34.6M,34602646.607130000,$2.6M,$2.1M,$560.7K,2638231.681246178,2077534.595878279,560697.0853678992
95,96,UNI,$2.5B,2511571353.247741700,$2.5M,$2.2M,$291K,2469359.499057495,2178406.2109927465,290953.28806474863
96,97,WAXP,$141.5M,141515512.192242900,$2.3M,$2.2M,$54.7K,2302479.537022683,2247807.3678648463,54672.169157836586
97,98,LIT,$26.5M,26533258.723734215,$2.1M,$2.2M,$-88.6K,2140243.1047609076,2228862.4295136975,-88619.32475279029
98,99,SPELL,$51.1M,51107150.382183060,$2.1M,$2.3M,$-142K,2112194.8123457795,2254217.637881796,-142022.82553601684
99,100,GRT,$791.8M,791830359.015714400,$2.2M,$2.1M,$125.7K,2235942.246895989,2110213.9063065355,125728.34058945354
100,101,WAVES,$172.7M,172709952.790025380,$1.9M,$2.4M,$-517.2K,1912803.2304294896,2429984.0266793356,-517180.7962498461
101,102,ARKM,$52.9M,52868687.975000000,$2M,$2.3M,$-316.1K,2004602.0512641035,2320681.0674026306,-316079.01613852684
102,103,ALPINE,$20.8M,20793017.236416000,$2M,$2.3M,$-330.6K,1993568.5720668077,2324198.0359880114,-330629.4639212038
103,104,USTC,$122.5M,122521447.647206780,$2.1M,$2.2M,$-70.7K,2100988.608250801,2171720.278710612,-70731.67045981108
105,106,DYDX,$306M,305986146.844076450,$1.9M,$2.4M,$-487.4K,1879676.6640828124,2367041.095493795,-487364.43141098233
106,107,KNC,$101.6M,101551472.341382320,$2M,$2.2M,$-220.7K,1993273.0734254294,2213954.164927939,-220681.0915025095
107,108,ICP,$1.3B,1326717934.414482600,$2.1M,$2.1M,$76.8K,2137311.525744986,2060554.3284091752,76757.1973358104
108,109,LUNC,$336.6M,336579315.302317700,$1.9M,$2.2M,$-314.5K,1858628.9952163976,2173164.4600469903,-314535.46483059274
109,110,VTHO,$86.5M,86510037.100978330,$2.1M,$1.9M,$159.3K,2091602.6990750001,1932307.563256,159295.13581900016
110,111,KEY,$30.8M,30772157.754134525,$1.8M,$2.1M,$-236.1K,1814347.3942405018,2050495.7130940647,-236148.31885356293
111,112,EDU,$82.9M,82858695.790554180,$1.9M,$2M,$-102.4K,1881176.4905464412,1983580.965816062,-102404.47526962061
112,113,BADGER,$43.1M,43122173.404717370,$1.8M,$2M,$-215.5K,1814875.4222625988,2030394.8513408124,-215519.42907821346
113,114,ALGO,$751.4M,751387407.687456100,$1.9M,$1.9M,$-47.1K,1894585.5003541985,1941643.5401895829,-47058.039835384436
114,115,COS,$19.8M,19791644.376582734,$1.9M,$1.9M,$61.6K,1938015.2843235852,1876459.380552343,61555.90377124211
115,116,LDO,$1.4B,1355433421.711739500,$1.8M,$1.9M,$-129.6K,1781173.5065287647,1910726.5286850207,-129553.02215625622
116,117,TVK,$23.5M,23534997.113150040,$1.9M,$1.7M,$224.5K,1935680.57348936,1711194.55063299,224486.02285637008
117,118,QNT,$1.1B,1103895310.511174000,$1.8M,$1.9M,$-126.8K,1752100.446645097,1878864.707465821,-126764.26082072394
118,119,ORDI,$73.7M,73668000.000000000,$1.7M,$1.9M,$-222.4K,1685441.7950774,1907806.8284336,-222365.03335619997
119,120,STX,$645.7M,645655035.741506200,$1.6M,$1.9M,$-308.5K,1628504.216536347,1937031.6535581718,-308527.4370218247
120,121,NEAR,$1B,1049341558.160954000,$1.7M,$1.8M,$-18.9K,1740910.1667260402,1759842.750907341,-18932.584181300837
121,122,RDNT,$66.2M,66214015.316347000,$1.9M,$1.5M,$424.2K,1943863.7637176341,1519659.368163485,424204.39555414923
122,123,AGIX,$222.4M,222433860.624771700,$1.6M,$1.8M,$-236.1K,1582462.8423292944,1818549.5296284375,-236086.68729914288
123,124,FIS,$15.5M,15520496.284891497,$1.7M,$1.7M,$10.9K,1666324.520856574,1655417.5907350606,10906.930121513375
