,rank,name,mcap,mcap_raw,inflow,outflow,netflow,inflow_raw,outflow_raw,netflow_raw
194,195,BETH,$0,0.000000000,$390K,$1.3M,$-936.2K,389956.0788209867,1326172.9402851607,-936216.8614641741
195,196,ANT,$173.6M,173603356.033000000,$799.7K,$880.3K,$-80.6K,799685.4324318228,880303.2627102609,-80617.8302784382
196,197,SFP,$238.3M,238315049.761235600,$782.6K,$881.9K,$-99.2K,782626.1385172441,881865.8419519591,-99239.70343471493
197,198,HFT,$67.5M,67486542.964985250,$821.9K,$805.2K,$16.7K,821878.5021854563,805225.5923040768,16652.909881379535
198,199,SUSHI,$146.2M,146214840.598954500,$712.1K,$914.6K,$-202.4K,712143.0952444775,914575.9160919288,-202432.82084745134
199,200,STG,$94.1M,94051786.423551630,$748.4K,$873.7K,$-125.3K,748367.662698009,873670.2790352269,-125302.61633721786
200,201,1INCH,$260.1M,260073952.052221060,$712.9K,$882.2K,$-169.3K,712929.6301097912,882200.3908728822,-169270.76076309115
201,202,COMBO,$38.6M,38644185.774210036,$610.1K,$980.7K,$-370.5K,610147.324198738,980678.446483774,-370531.12228503596
202,203,CHR,$69.5M,69531649.374250780,$730.9K,$857.4K,$-126.6K,730854.5565294176,857429.4838375559,-126574.9273081383
203,204,ONT,$143.7M,143667738.502506430,$669.4K,$909.4K,$-240.1K,669374.166246805,909445.9764928991,-240071.81024609413
204,205,SHPING,$12.5M,12513322.891008000,$807.7K,$755.5K,$52.2K,807679.533944,755486.057728,52193.47621600004
205,206,SIS,$7.2M,7218822.359700000,$148.4K,$1.4M,$-1.2M,148391.915621711,1367309.127545618,-1218917.211923907
206,207,LRC,$237.2M,237238073.637290980,$731.8K,$780.9K,$-49.1K,731778.5695973845,780892.5856085889,-49114.01601120435
207,208,OMG,$62M,61995155.379230250,$709.6K,$802K,$-92.4K,709599.9900137614,802007.9272511145,-92407.93723735308
208,209,WOO,$296.3M,296335869.365825300,$710.2K,$796.3K,$-86.1K,710225.6929402685,796296.3595722866,-86070.66663201802
209,210,THETA,$608M,608024925.062500000,$799.6K,$700.9K,$98.7K,799638.5428041928,700927.9212086013,98710.6215955914
210,211,CLV,$23.6M,23611078.900957800,$730K,$764.9K,$-34.9K,730015.171153208,764918.9733623707,-34903.80220916272
211,212,JOE,$80.9M,80948361.292818170,$656.8K,$823.5K,$-166.7K,656809.281867343,823481.239039782,-166671.9571724389
212,213,API3,$92.9M,92883240.545079650,$713.5K,$763.4K,$-50K,713482.1538962005,763443.4178753861,-49961.263979185576
213,214,RSR,$99.6M,99648696.766666670,$684.9K,$766.5K,$-81.6K,684864.1168835493,766487.206867648,-81623.08998409881
214,215,ENJ,$230.2M,230194443.666666660,$732.6K,$714.1K,$18.5K,732606.3343268875,714134.4244085276,18471.90991836003
215,216,FLOKI,$151.5M,151528586.145579930,$698.1K,$748K,$-49.9K,698127.0790473807,747993.3924544276,-49866.313407046764
216,217,CTSI,$94.5M,94473844.196352700,$700.4K,$737.3K,$-36.9K,700437.832055258,737308.3466069112,-36870.51455165318
217,218,ANKR,$189.2M,189205909.388888840,$672.6K,$752.1K,$-79.5K,672565.7384018134,752078.4275545818,-79512.68915276827
218,219,CETUS,$0,0.000000000,$623.6K,$769.9K,$-146.3K,623553.976162375,769873.18769516,-146319.2115327851
219,220,PEOPLE,$47.7M,47652042.784002320,$565.9K,$799.2K,$-233.3K,565925.9905183783,799176.2693351995,-233250.27881682117
220,221,TFUEL,$204.6M,204648166.392170430,$745.6K,$613.7K,$131.9K,745560.5306069915,613680.0176602179,131880.51294677355
221,222,WBTC,$4.3B,4327742762.538440000,$640.3K,$704.7K,$-64.5K,640265.5559246837,704719.961746891,-64454.405822207336
222,223,DASH,$302.2M,302219450.564813000,$674.3K,$662.1K,$12.3K,674330.5345984135,662052.4883897752,12278.046208638378
223,224,OCEAN,$194.9M,194893647.400562550,$676.3K,$646.6K,$29.7K,676314.2726618072,646641.1992289756,29673.073432831705
224,225,DAR,$35M,34957432.882403220,$627.6K,$684.7K,$-57.1K,627615.2315208481,684691.2546448929,-57076.023124044725
225,226,NAKA,$39.4M,39350372.749770000,$733.3K,$574.6K,$158.7K,733267.709898585,574565.192959004,158702.51693958102
226,227,IRIS,$28.4M,28407890.730274364,$683.6K,$621K,$62.6K,683632.2503572659,621007.6591704135,62624.59118685243
227,228,XVG,$56.7M,56653408.704143636,$641.2K,$661.3K,$-20.1K,641190.8616893475,661304.045103922,-20113.18341457442
